id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,off_camera,under_pressure,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
1ab08709-633c-454e-bd54-8e862b4e62a6,1152,1,00:24:31.047,24,,46,Regular Play,Italy,Gianluigi Donnarumma,Goalkeeper,1.340062,3795220,7036,True,,,0.9977814679021526,Complete,6954,Giorgio Chiellini,Ground Pass,Keeper Arm,8.6,43.8,8.8,28.0,0.73 (35/48)
da9c1d83-eaf6-4688-998b-ee2ca17ceffa,1154,1,00:24:33.482,24,,46,Regular Play,Italy,Giorgio Chiellini,Left Center Back,1.429391,3795220,6954,,,,0.992098234720556,Complete,7036,Gianluigi Donnarumma,Ground Pass,Left Foot,8.89771,26.755745,5.8,40.2,0.85 (50/59)
6dd49a33-13e0-44d6-8107-f2530de5796a,1157,1,00:24:34.952,24,,46,Regular Play,Italy,Gianluigi Donnarumma,Goalkeeper,2.404068,3795220,7036,,,,0.4828457752454101,Incomplete,,,High Pass,Left Foot,5.879555,37.37017,46.7,39.7,0.73 (35/48)
8abab12b-eb97-481d-b916-0d6918de1ab8,1160,1,00:24:39.775,24,,47,Regular Play,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,0.524423,3795220,5203,,,,0.964621317952948,Complete,30486,Pedro González López,Ground Pass,Right Foot,83.58489,41.542316,89.5,46.1,0.93 (68/73)
51c16eb4-6db5-4cd4-9b9c-6b392199c56e,1164,1,00:24:41.114,24,,47,Regular Play,Spain,Pedro González López,Left Center Midfield,0.931823,3795220,30486,,True,,0.7843793931705089,Complete,6685,Mikel Oyarzabal Ugarte,Ground Pass,Right Foot,92.76891,48.73805,106.2,50.0,0.98 (61/62)
7143fa35-43ee-4283-a5d7-e28744c896fe,1179,1,00:24:49.977,24,Recovery,47,Regular Play,Spain,Aymeric Laporte,Left Center Back,1.34467,3795220,4353,,,,0.6110227346493945,Complete,5199,Jorge Resurrección Merodio,High Pass,Head,64.863045,30.519869,77.5,32.0,0.93 (132/142)
e49fd55a-5dac-47dd-9fda-1f2910347971,1186,1,00:24:54.323,24,,48,Regular Play,Italy,Marco Verratti,Left Center Midfield,0.874593,3795220,3166,,,,0.9855428344408356,Complete,7156,Federico Chiesa,Ground Pass,Right Foot,46.10011,39.06055,55.2,53.0,0.81 (25/31)
c33eef02-8a01-4ca7-93b7-057a8a3751c4,1189,1,00:24:57.829,24,,48,Regular Play,Italy,Federico Chiesa,Right Wing,3.532862,3795220,7156,,,,0.9281485370077798,Complete,8181,Nicolò Barella,Ground Pass,Right Foot,64.55834,54.159718,77.0,75.9,0.67 (10/15)
46fae3ac-b0f2-44a2-998b-3c1d3a1ecf10,1193,1,00:25:03.147,25,,48,Regular Play,Italy,Nicolò Barella,Right Center Midfield,1.508597,3795220,8181,,True,,0.9699646045127256,Complete,11514,Giovanni Di Lorenzo,Ground Pass,Right Foot,75.10232,74.32361,56.9,74.0,0.68 (13/19)
b128626f-7aca-481d-89d6-e66c057c1941,1196,1,00:25:05.641,25,,48,Regular Play,Italy,Giovanni Di Lorenzo,Right Back,1.380038,3795220,11514,,,,0.9879051794461584,Complete,7173,Leonardo Bonucci,Ground Pass,Right Foot,57.668793,69.292076,46.9,51.9,0.8 (33/41)
b9d14e2c-c763-40b7-9246-27d7107387cd,1199,1,00:25:08.412,25,,48,Regular Play,Italy,Leonardo Bonucci,Right Center Back,1.686162,3795220,7173,,,,0.9863208017478392,Complete,6954,Giorgio Chiellini,Ground Pass,Right Foot,45.68146,49.560505,50.5,30.3,0.71 (37/52)
f1621ce5-3b56-4d74-97f6-cc0c4e1162b9,1202,1,00:25:12.148,25,,48,Regular Play,Italy,Giorgio Chiellini,Left Center Back,1.65193,3795220,6954,,,,0.9887669622568812,Complete,7173,Leonardo Bonucci,Ground Pass,Left Foot,52.99709,25.0771,47.7,49.8,0.85 (50/59)
f68622f9-a2d6-482e-93a8-ef7a0d450b51,1205,1,00:25:14.795,25,,48,Regular Play,Italy,Leonardo Bonucci,Right Center Back,1.795141,3795220,7173,,,,0.9739225975537206,Complete,11514,Giovanni Di Lorenzo,Ground Pass,Left Foot,49.12633,46.380676,56.3,72.7,0.71 (37/52)
