id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
54659f18-e323-4313-b3fe-b42be978d07a,603,1,16,,36,From Goal Kick,Scotland,Liam Cooper,Left Center Back,1.489473,3788748,9621,,,,0.980111952365724,Complete,9481,Grant Hanley,Ground Pass,Left Foot,23.653763,26.80698,23.3,49.1
b8a23cdb-614b-418c-8ed1-360c830f7574,606,1,16,,36,From Goal Kick,Scotland,Grant Hanley,Center Back,1.494151,3788748,9481,,,,0.9362175249504388,Complete,3620,Scott McTominay,Ground Pass,Right Foot,22.475742,46.11859,36.0,28.9
4777d89d-ad96-43b7-a008-841b17960f5d,609,1,16,,36,From Goal Kick,Scotland,Scott McTominay,Center Defensive Midfield,1.200493,3788748,3620,,,,0.9675983899794296,Complete,3655,Andrew Robertson,Ground Pass,Right Foot,46.38957,21.87186,57.0,3.3
a3df4a91-0e64-4b06-b8ce-2758cfdaa7e2,613,1,16,,36,From Goal Kick,Scotland,Andrew Robertson,Left Wing Back,1.554175,3788748,3655,True,,,0.967743072881474,Complete,9621,Liam Cooper,Ground Pass,Left Foot,48.637444,9.941933,31.0,20.9
1ebd7b7f-ad12-4195-8db6-e19d901f8249,616,1,16,,36,From Goal Kick,Scotland,Liam Cooper,Left Center Back,1.112246,3788748,9621,,,,0.9886294256526548,Complete,9481,Grant Hanley,Ground Pass,Left Foot,30.996294,25.951387,30.6,39.5
0603fda0-4c35-4087-9bbf-39fc9343a2c2,619,1,16,,36,From Goal Kick,Scotland,Grant Hanley,Center Back,1.295732,3788748,9481,,,,0.9438954200706112,Complete,3620,Scott McTominay,Ground Pass,Right Foot,31.90816,43.49391,42.2,31.0
9c6afa21-e132-4c27-bdd2-6113c1810e01,622,1,17,,36,From Goal Kick,Scotland,Scott McTominay,Center Defensive Midfield,1.908586,3788748,3620,,,,0.993103079436116,Complete,9621,Liam Cooper,Ground Pass,Right Foot,38.952507,33.60925,31.4,20.9
29609980-5dd9-402e-990f-c63bf264b8d9,625,1,17,,36,From Goal Kick,Scotland,Liam Cooper,Left Center Back,1.338986,3788748,9621,,,,0.9868127293358504,Complete,9481,Grant Hanley,Ground Pass,Left Foot,34.10857,21.159119,31.6,50.1
e6c29a78-5b26-431a-9955-b21bc4ed784d,628,1,17,,36,From Goal Kick,Scotland,Grant Hanley,Center Back,1.094098,3788748,9481,,,,0.9827601327779492,Complete,11116,Jack Hendry,Ground Pass,Right Foot,39.77996,48.229836,42.3,69.7
ea2c8578-ec0e-4873-b706-eb0f730bb48d,631,1,17,,36,From Goal Kick,Scotland,Jack Hendry,Right Center Back,1.155754,3788748,11116,,,,0.7434514671014831,Complete,9048,"Stephen O""Donnell",Low Pass,Right Foot,42.645702,69.02648,63.2,73.8
