id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
6fa56eb9-dded-4687-8ef3-f31cf0dc9716,3513,2,00:45:58.625,90,,126,Regular Play,Spain,Pablo Sarabia García,Right Wing,1.07003,3788750,6720,,,,,0.9922454037131724,Complete,5208,Thiago Alcântara do Nascimento,Ground Pass,Left Foot,67.4426,61.26984,63.5,53.9
714263bf-2a27-4b77-91d9-31c212a03b08,3516,2,00:46:01.188,91,,126,Regular Play,Spain,Thiago Alcântara do Nascimento,Center Defensive Midfield,2.744888,3788750,5208,,,,,0.9796759564783012,Complete,5211,Jordi Alba Ramos,Ground Pass,Right Foot,67.139786,50.27965,84.7,7.1
0458fcdf-8ca2-417c-8fd4-8eb2409bc51a,3519,2,00:46:04.760,91,,126,Regular Play,Spain,Jordi Alba Ramos,Left Back,1.2763,3788750,5211,,,,,0.9906549402447564,Complete,30486,Pedro González López,Ground Pass,Left Foot,84.49589,4.39855,85.2,20.3
e9df6b46-10c3-45b2-80cb-434153bba28d,3522,2,00:46:08.946,91,,126,Regular Play,Spain,Pedro González López,Left Center Midfield,2.457291,3788750,30486,,,,,0.7358809050348045,Complete,6655,Fabián Ruiz Peña,High Pass,Right Foot,80.6638,16.896927,70.9,61.3
08da3155-936f-4236-96e4-c0114f4efb21,3525,2,00:46:13.898,91,,126,Regular Play,Spain,Fabián Ruiz Peña,Right Center Midfield,1.456981,3788750,6655,,,,,0.9132322336304054,Complete,6840,Marcos Llorente Moreno,Ground Pass,Left Foot,80.85455,61.421104,91.4,76.9
abaf7d8a-9f58-4417-b1f2-b3560ee939a4,3527,2,00:46:15.355,91,,126,Regular Play,Spain,Marcos Llorente Moreno,Right Back,1.599873,3788750,6840,,,,,0.9854415475108828,Complete,6655,Fabián Ruiz Peña,Ground Pass,Right Foot,93.99798,76.094154,84.4,73.6
0ca80ac7-6fc9-427a-9e0b-21385d0aed71,3530,2,00:46:18.717,91,,126,Regular Play,Spain,Fabián Ruiz Peña,Right Center Midfield,0.965536,3788750,6655,,,,,0.8866024327315121,Complete,6720,Pablo Sarabia García,Ground Pass,Left Foot,92.98551,63.032253,99.0,54.5
09db1aa1-d3ef-4ff7-870f-84a755a4f6d4,3533,2,00:46:20.358,91,,126,Regular Play,Spain,Pablo Sarabia García,Right Wing,0.798974,3788750,6720,,,,,0.6847719605798862,Complete,6766,Gerard Moreno Balaguero,Ground Pass,Left Foot,101.37148,51.62886,105.7,57.2
c30e7f27-582b-40e5-97d2-de65d32e522a,3538,2,00:46:54.024,91,Goal Kick,127,From Goal Kick,Sweden,Robin Olsen,Goalkeeper,6.738229,3788750,5622,,True,,,0.10659369738078124,Incomplete,,,High Pass,Right Foot,6.0,44.0,84.1,20.8
2e08833b-51e2-499f-ac18-6bb007d3beb6,3540,2,00:47:01.886,92,,128,Regular Play,Spain,Marcos Llorente Moreno,Right Back,1.713634,3788750,6840,,,,,0.9977633322061278,Complete,11748,Unai Simón Mendibil,Ground Pass,Left Foot,26.2,61.7,8.9,49.1
69da959c-4fcf-4f3d-b45f-306d6b14ead5,3543,2,00:47:04.952,92,,128,Regular Play,Spain,Unai Simón Mendibil,Goalkeeper,1.9039,3788750,11748,,,,,0.9857822563148828,Complete,6892,Pau Francisco Torres,Ground Pass,Right Foot,8.202415,48.51743,17.5,24.7
